,who,lang,text
ParlaMint-NO_2016-17_170619.ud183e6146,KES,nob,"['Det voteres så over forslag nr. 44, fra Sosialistisk Venstreparti. Forslaget lyder:', '«Stortinget ber regjeringen igangsette bygging av Arna-Stanghelle i 2021.»', 'Arbeiderpartiet, Senterpartiet og Miljøpartiet De Grønne har varslet støtte til forslaget.']"
ParlaMint-NO_2016-17_170619.ud183e6163,KES,nob,"['Det voteres så over forslagene nr. 11 og 12, fra Senterpartiet.', 'Forslag nr. 11 lyder:', '«Stortinget ber regjeringen øke rammen i Nasjonal transportplan 2018–2029 med 7,17 mrd. kroner sammenlignet med rammen i Meld. St. 33 ', ' og legge følgende endringer til grunn i det økonomiske opplegget ', ':', 'Tiltak', 'Tillegg/fratrekk 1. periode', 'Tillegg/fratrekk 2. periode', 'Endringar og nye tiltak vei', '5030', '1340', 'Endringar og nye tiltak bane', '2000', '2000', 'Endringar og nye tiltak kyst', '1013', '487', 'Breiband', '3000', '3000', 'Rassikring', '1000', '1000', 'Tunnelsikkerhetsforskriften', '2000', '300', 'Effektiviseringstiltak veg', '3000', '3000', 'Effektiviseringstiltak bane', '5000', '4000', '»', 'Forslag nr. 12 lyder:', '«Stortinget ber regjeringen legge frem en ordinær bompengeproposisjon for E39 Ålesund–Molde ', ' til behandling i Stortinget innen utgangen av 2020.»']"
ParlaMint-NO_2016-17_170619.ud183e6286,KES,nob,"['Det voteres så over forslag nr. 17, fra Senterpartiet. Forslaget lyder:', '«Stortinget ber regjeringen instruere Statens vegvesen om å regulere sidevegstrafikken i rundkjøringen øst for Fetsundbrua i rushtiden, enten ved tilfartskontroll, rushtidsbom eller andre tiltak, for å prioritere trafikken på rv. 22.»', 'Sosialistisk Venstreparti har varslet støtte til forslaget.']"
ParlaMint-NO_2016-17_170619.ud183e6304,KES,nob,"['Det voteres så over forslag nr. 13, fra Senterpartiet. Forslaget lyder:', '«Stortinget ber regjeringen formelt legge ned jernbanestrekningen Dokka–Eina og frigjøre arealene til andre formål.»', 'Arbeiderpartiet og Sosialistisk Venstreparti har varslet støtte til forslaget.']"
ParlaMint-NO_2016-17_170619.ud183e6321,KES,nob,"['Det voteres så over forslagene nr. 15 og 16, fra Senterpartiet.', 'Forslag nr. 15 lyder:', '«Stortinget ber regjeringen sørge for en forpliktende utbyggingsplan for bredbånd.»', 'Forslag nr. 16 lyder:', '«Stortinget ber regjeringen sette i gang et arbeid med kostnadsreduksjon innen drift, vedlikehold og utbygging av veier og jernbane.»', 'Arbeiderpartiet, Sosialistisk Venstreparti og Miljøpartiet De Grønne har varslet støtte til forslagene.']"
ParlaMint-NO_2016-17_170619.ud183e6345,KES,nob,"['Det voteres så over forslag nr. 14, fra Senterpartiet. Forslaget lyder:', '«Stortinget ber regjeringen utrede en modell der Vinmonopolet tar over salg av alkoholholdig vare på taxfreeutsalg ved norske lufthavner.»', 'Arbeiderpartiet, Kristelig Folkeparti, Sosialistisk Venstreparti og Miljøpartiet De Grønne har varslet støtte til forslaget.']"
ParlaMint-NO_2016-17_170619.ud183e6362,KES,nob,"['Det voteres så over forslagene nr. 4–10, fra Arbeiderpartiet.', 'Forslag nr. 4 lyder:', '«Stortinget ber regjeringen legge frem et veikart for når man antar at ulike teknologier vil slå inn i samferdselssektoren.»', 'Forslag nr. 5 lyder:', '«Stortinget ber regjeringen legge frem en strategi for et framtidig system for transport som baserer seg på delt mobilitet. Strategien må vurdere forhold som konkurranse, datatilgang og -eierskap, samt mobilitet som tjeneste og nødvendige lovendringer.»', 'Forslag nr. 6 lyder:', '«Stortinget ber regjeringen utarbeide et nasjonalt prosjekt for utvikling av kunstig intelligens og ubemannet teknologi.»', 'Forslag nr. 7 lyder:', '«Stortinget ber regjeringen om å legge frem et forslag som sikrer åpenhet om algoritmer som gir grunnlag for beslutninger som har vesentlig betydning for enkeltindivider eller samfunnet. Forslaget bør vurdere behovet for og hvem som eventuelt bør sertifisere og kontrollere slike algoritmer.»', 'Forslag nr. 8 lyder:', '«Stortinget ber regjeringen legge fram en nasjonal strategi for droner, slik at potensialet for verdiskaping og nye arbeidsplasser kan utnyttes.»', 'Forslag nr. 9 lyder:', '«Stortinget ber regjeringen om å benytte utviklingskontrakter, pilotprosjekter eller andre hensiktsmessige virkemidler for å fremme digitalisering av sjøtransporten.»', 'Forslag nr. 10 lyder:', '«Stortinget legger til grunn at de fire InterCity-strekningene skal være ferdig utbygd med dobbeltspor innen 2030, og ber på denne bakgrunn regjeringen komme tilbake med en samlet plan for utbygging av de fire strekningene som ivaretar denne ambisjonen.»', 'Sosialistisk Venstreparti og Miljøpartiet De Grønne har varslet støtte til forslagene.']"
ParlaMint-NO_2016-17_170619.ud183e6412,KES,nob,"['Det voteres så over forslagene nr. 1–3, fra Arbeiderpartiet og Senterpartiet.', 'Forslag nr. 1 lyder:', '«Stortinget ber regjeringen sikre statlig finansiering av fiskerihavner.»', 'Forslag nr. 2 lyder:', '«Stortinget ber regjeringen foreta en gjennomgang av ordningen med kjørevegsavgift for godstransport på jernbane, i den hensikt å unngå at noen bedrifter eller transportører rammes urimelig hardt.»', 'Forslag nr. 3 lyder:', '«Stortinget ber regjeringen etablere relevante forskningsprogrammer som følger utviklingen av en ny flyplass og ny bydel i Bodø, for å sikre at kunnskapen og erfaringene som bygges opp kan komme hele landet til nytte.»', 'Sosialistisk Venstreparti og Miljøpartiet De Grønne har varslet støtte til forslagene.']"
ParlaMint-NO_2016-17_170619.ud183e6452,KES,nob,['Miljøpartiet De Grønne har varslet at de vil stemme imot.']
ParlaMint-NO_2016-17_170619.ud183e6556,KES,nob,['Miljøpartiet De Grønne har varslet at de vil stemme imot.']
ParlaMint-NO_2016-17_170619.ud183e6587,KES,nob,['Sosialistisk Venstreparti og Miljøpartiet De Grønne har varslet at de vil stemme imot.']
ParlaMint-NO_2016-17_170619.ud183e6618,KES,nob,['Miljøpartiet De Grønne har varslet at de vil stemme imot.']
ParlaMint-NO_2016-17_170619.ud183e6707,KES,nob,['Miljøpartiet De Grønne har varslet at de vil stemme imot.']
ParlaMint-NO_2016-17_170619.ud183e6723,KES,nob,"['Under debatten har Heikki Eidsvoll Holmås satt fram et forslag på vegne av Sosialistisk Venstreparti. Forslaget er senere trukket.', 'Komiteen hadde innstilt til Stortinget å gjøre slikt']"
ParlaMint-NO_2016-17_170619.ud183e6767,KES,nob,['Sosialistisk Venstreparti og Miljøpartiet De Grønne har varslet at de vil stemme imot.']
ParlaMint-NO_2016-17_170619.ud183e6783,KES,nob,"['Under debatten er det satt fram i alt ni forslag. Det er', 'forslag nr. 1, fra Åse Michaelsen på vegne av Fremskrittspartiet', 'forslagene nr. 2–9, fra Rasmus Hansson på vegne av Miljøpartiet De Grønne', 'Det voteres over forslagene nr. 2–9, fra Miljøpartiet De Grønne.', 'Forslag nr. 2 lyder:', '«Stortinget ber regjeringen endre utbyggingsstrategien for E18 Vestkorridoren slik at den ikke er i strid med avtalen om Oslopakke 3 og sørge for at det ikke blir kapasitetsøkning på veiene inn til Oslo, og at det blir kollektivfelt på innfartsårene til Oslo når bompengene øker.» Forslag nr. 3 lyder:', '«Stortinget ber regjeringen sikre statlig delfinansiering av nytt signal- og sikringsanlegg på t-banen i ny byvekstavtale med Akershus og Oslo.» Forslag nr. 4 lyder:', '«Stortinget ber regjeringen sikre statlig delfinansiering av Baneløsning Nedre Romerike i ny byvekstavtale med Akershus og Oslo.» Forslag nr. 5 lyder:', '«Stortinget ber regjeringen sikre statlig delfinansiering av baneløsning fra Sandvika til Lommedalen i ny byvekstavtale med Akershus og Oslo.» Forslag nr. 6 lyder:', '«Stortinget ber regjeringen sikre statlig delfinansiering av trikk på Ring 2 og trikk til Tonsenhagen i ny byvekstavtale med Akershus og Oslo.» Forslag nr. 7 lyder:', '«Stortinget ber regjeringen prøve ut 2+-felt på riksveinettet i Akershus og Oslo.» Forslag nr. 8 lyder:', '«Stortinget ber regjeringen sørge for at videre planlegging av E6 Manglerud-prosjektet skjer i tråd med Oslo kommunes mål om å redusere biltrafikken med en tredel innen 2030.» Forslag nr. 9 lyder:', '«Stortinget ber regjeringen utrede S-tog fra Oslo S via Bislett og Storo til Groruddalen.»', 'Sosialistisk Venstreparti har varslet støtte til forslagene.']"
ParlaMint-NO_2016-17_170619.ud183e6825,KES,nob,"['Det voteres over forslag nr. 1, fra Fremskrittspartiet. Forslaget lyder:', '«Stortinget ber regjeringen følge opp innføring av bombrikkerabatt på 20 pst. for Oslopakke 3 fra oppstart av trinn 1, i tråd med Stortingets vedtak om takst- og rabattstruktur.»']"
ParlaMint-NO_2016-17_170619.ud183e6873,KES,nob,"['Under debatten har siste ledd i forslaget til vedtak blitt trukket.', 'Forslag til vedtak lyder nå som følger:', '«Som nytt varamedlem av Nordisk råd velges stortingsrepresentant Helge André Njåstad.»']"
ParlaMint-NO_2016-17_170619.ud183e6893,KES,nob,"['Under debatten er det satt fram i alt to forslag. Det er', 'forslag nr. 1, fra Dag Terje Andersen på vegne av Arbeiderpartiet, Senterpartiet og Sosialistisk Venstreparti.', 'forslag nr. 5, fra Stefan Heggelund på vegne av Høyre, Fremskrittspartiet, Kristelig Folkeparti og Venstre.']"
ParlaMint-NO_2016-17_170619.ud183e6905,KES,nob,"['Det voteres over forslag nr.1, fra Arbeiderpartiet, Senterpartiet og Sosialistisk Venstreparti. Forslaget lyder:', '«Stortinget ber regjeringen legge frem en egen sak for Stortinget om fremme av sosialt entreprenørskap i tråd med intensjonen i Representantforslag 82 S ', '.»', 'Miljøpartiet De Grønne har varslet støtte til forslaget.']"
ParlaMint-NO_2016-17_170619.ud183e6922,KES,nob,"['Det voteres over forslag nr. 5, fra Høyre, Fremskrittspartiet, Kristelig Folkeparti og Venstre. Forslaget lyder:', '«Stortinget ber regjeringen på egnet måte om å iverksette tiltak for å øke kompetansen rundt offentlige anskaffelser hos sosiale entreprenører og innkjøpere i offentlig sektor. I tillegg ber Stortinget regjeringen om å styrke og utvide tilskuddsordningen for sosialt entreprenørskap.» Miljøpartiet De Grønne har varslet støtte til forslaget.', 'Arbeiderpartiet har varslet subsidiær støtte til forslaget.']"
ParlaMint-NO_2016-17_170619.ud183e6944,KES,nno,"['Presidenten forstår det slik at Senterpartiet skulle stemt for forslaget, så vi tar voteringen om igjen.']"
ParlaMint-NO_2016-17_170619.ud183e6988,KES,nob,"['Under debatten har Olaug V. Bollestad satt fram et forslag på vegne av Arbeiderpartiet, Kristelig Folkeparti og Senterpartiet. Forslaget lyder:', '«Stortinget ber regjeringen som et ledd i den kommende strategien for psykisk helse, fremme en kommunal tiltaksplan for å styrke eldres psykiske helse, der man ser i sammenheng det helsefremmende og forbyggende arbeidet, bedre diagnostisering av psykisk sykdom hos eldre mennesker, samt god, riktig og tilpasset behandling av eldre med psykiske lidelser.»', 'Sosialistisk Venstreparti og Miljøpartiet De Grønne har varslet støtte til forslaget.']"
ParlaMint-NO_2016-17_170619.ud183e7056,KES,nob,"['Under debatten er det satt fram i alt to forslag. Det er', 'forslag nr. 1, fra Ruth Grung på vegne av Arbeiderpartiet, Kristelig Folkeparti og Senterpartiet', 'forslag nr. 2, fra Kjersti Toppe på vegne av Senterpartiet', 'Det voteres over forslag nr. 2, fra Senterpartiet. Forslaget lyder:', '«Stortinget ber regjeringen vurdere tiltak som gjør at fotterapi blir et mer tilgjengelig og inkluderende tilbud i den offentlige helsetjenesten.»', 'Sosialistisk Venstreparti og Miljøpartiet De Grønne har varslet støtte til forslaget.']"
ParlaMint-NO_2016-17_170619.ud183e7082,KES,nob,"['Det voteres over forslag nr. 1, fra Arbeiderpartiet, Kristelig Folkeparti og Senterpartiet. Forslaget lyder:', '«Stortinget ber regjeringen på egnet måte fremme sak om nødvendige tiltak for bedre forebygging og behandling av pasienter med kroniske sår, samt sikre sårpasienter et helhetlig og sammenhengende behandlingstilbud med mål om å redusere antall pasienter med kroniske sår og amputasjoner. Saken må også omhandle finansiering, tilgjengelighet og etablering av et tilbud i spesialisthelsetjenesten, for eksempel i form av sårsentre/sårklinikker. I tillegg må den foreslå tiltak for å øke kompetanse og samhandling på alle nivåer, slik at pasientene sikres en god og koordinert behandling.»', 'Sosialistisk Venstreparti og Miljøpartiet De Grønne har varslet støtte til forslaget.']"
ParlaMint-NO_2016-17_170619.ud183e7115,KES,nob,"['Under debatten har Ruth Grung satt fram et forslag på vegne av Arbeiderpartiet, Kristelig Folkeparti og Senterpartiet. Forslaget lyder:', '«Stortinget ber regjeringen fremme sak om hvordan man kan sikre god rekruttering av leger til primærhelsetjenesten fremover. Saken må blant annet omhandle hvordan man kan sikre at primærhelsetjeneste skal inkluderes i medisinstudiet i fremtiden, samt opprettelse av flere utdanningsstillinger for leger i spesialisering i allmennmedisin.»', 'Sosialistisk Venstreparti og Miljøpartiet De Grønne har varslet støtte til forslaget.']"
ParlaMint-NO_2016-17_170619.ud183e7149,KES,nob,"['Under debatten er det satt fram i alt fire forslag. Det er', 'forslagene nr. 1 og 2, fra Tove Karoline Knutsen på vegne av Arbeiderpartiet, Kristelig Folkeparti og Senterpartiet', 'forslagene nr. 3 og 4, fra Tove Karoline Knutsen på vegne av Arbeiderpartiet og Senterpartiet', 'Det voteres over forslagene nr. 3 og 4, fra Arbeiderpartiet og Senterpartiet.', 'Forslag nr. 3 lyder:', '«Stortinget ber regjeringen gjeninnføre og styrke tilskuddsordningen i Helsedirektoratet til stillinger og prosjekter innenfor kunnskapsbaserte behandlingsmetoder, som f.eks. musikkterapi, slik at denne type behandling kan realiseres i flere kommuner og i helseforetak.»', 'Forslag nr. 4 lyder:', '«Stortinget ber regjeringen sørge for ressurser til følgeforskning og annen relevant forskning på implementering av musikkterapi i tjenestene, med fokus på brukererfaringer og samarbeidsmåter.»', 'Sosialistisk Venstreparti og Miljøpartiet De Grønne har varslet støtte til forslagene.']"
ParlaMint-NO_2016-17_170619.ud183e7182,KES,nob,"['Det voteres over forslagene nr. 1 og 2, fra Arbeiderpartiet, Kristelig Folkeparti og Senterpartiet.', 'Forslag nr. 1 lyder:', '«Stortinget ber regjeringen i dialog med helseforetakene foreslå stimulerende tiltak for kunnskapsbasert implementering av musikkterapi i tjenestene.»', 'Forslag nr. 2 lyder:', '«Stortinget ber regjeringen fra 2018 øke den nasjonale utdanningskapasiteten i musikkterapiutdanninga.»', 'Sosialistisk Venstreparti og Miljøpartiet De Grønne har varslet støtte til forslagene.']"
ParlaMint-NO_2016-17_170619.ud183e7222,KES,nob,"['Til denne saken er det satt fram i alt ti forslag. Det er', 'forslag nr. 1, fra Morten Wold på vegne av Fremskrittspartiet, Kristelig Folkeparti, Senterpartiet og Venstre', 'forslagene nr. 2–4, fra Olaug V. Bollestad på vegne av Kristelig Folkeparti, Senterpartiet og Venstre', 'forslagene nr. 5–7, fra Olaug V. Bollestad på vegne av Kristelig Folkeparti og Senterpartiet', 'forslagene nr. 8–10, fra Kjersti Toppe på vegne av Senterpartiet', 'Det voteres over forslagene nr. 8–10, fra Senterpartiet.', 'Forslag nr. 8 lyder:', '«Stortinget ber regjeringen fremme forslag om å endre finansieringen av sykehus med mål om at sykehus i all hovedsak skal rammefinansieres.»', 'Forslag nr. 9 lyder:', '«Stortinget ber regjeringen redusere graden av innsatsstyrt finansiering, i første omgang til 30 prosent.»', 'Forslag nr. 10 lyder:', '«Stortinget ber regjeringen fremme forslag om at innsatsstyrt finansiering ikke må videreføres ned på sykehusnivå og på klinikknivå.»', 'Sosialistisk Venstreparti har varslet støtte til forslagene.']"
ParlaMint-NO_2016-17_170619.ud183e7266,KES,nob,"['Det voteres over forslagene nr. 6 og 7, fra Kristelig Folkeparti og Senterpartiet.', 'Forslag nr. 6 lyder:', '«Stortinget ber regjeringen sikre at det innføres stedlig ledelse ved sykehusene i Møre og Romsdal i tråd med Stortingets vedtak 542 ved behandlingen av Innst. 206 S ', ' om Nasjonal helse- og sykehusplan ', '.»', 'Forslag nr. 7 lyder:', '«Stortinget ber regjeringen følge opp Kvinnsland-utvalgets rapport gjennom å fremme egen sak for Stortinget om å erstatte helseforetaksloven med en helseforvaltningslov som sikrer folkevalgt styring og stedlig ledelse av hvert sykehus.»', 'Sosialistisk Venstreparti har varslet støtte til forslagene.']"
ParlaMint-NO_2016-17_170619.ud183e7290,KES,nob,"['Det voteres over forslag nr. 5, fra Kristelig Folkeparti og Senterpartiet. Forslaget lyder:', '«Stortinget ber regjeringen sørge for at ansvar for og utvikling av IKT-infrastruktur i helsetjenesten ikke blir outsourcet.»', 'Sosialistisk Venstreparti og Miljøpartiet De Grønne har varslet støtte til forslaget.']"
ParlaMint-NO_2016-17_170619.ud183e7307,KES,nob,"['Det voteres over forslag nr. 2, fra Kristelig Folkeparti, Senterpartiet og Venstre. Forslaget lyder:', '«Stortinget ber regjeringen vurdere å dele opp Helse Sør-Øst.»']"
ParlaMint-NO_2016-17_170619.ud183e7327,KES,nob,"['Det voteres over forslagene nr. 3 og 4, fra Kristelig Folkeparti, Senterpartiet og Venstre.', 'Forslag nr. 3 lyder:', '«Stortinget ber regjeringen sikre at strategiske beslutninger om IKT i spesialisthelsetjenesten alltid underlegges grundig politisk behandling og beslutninger basert på høringsrunder.»', 'Forslag nr. 4 lyder:', '«Stortinget ber regjeringen vurdere helseforetakenes praksis med uformelle AD-møter og sikre formalisering av møtene ved å innføre krav til full åpenhet, dokumentasjon og at tillitsvalgte får fulle rettigheter til deltakelse.»', 'Sosialistisk Venstreparti og Miljøpartiet De Grønne har varslet støtte til forslagene.']"
ParlaMint-NO_2016-17_170619.ud183e7352,KES,nob,"['Det voteres over forslag nr. 1, fra Fremskrittspartiet, Kristelig Folkeparti, Senterpartiet og Venstre. Forslaget lyder:', '«Stortinget ber regjeringen utrede en løsning der dagens helseforetaksmodell avvikles til fordel for en modell der det enkelte helseforetak får delegert sørge-for-ansvar og blir direkte underlagt et nasjonalt nivå.»', 'Miljøpartiet De Grønne har varslet støtte til forslaget.', 'Sosialistisk Venstreparti har varslet subsidiær støtte til forslaget.']"
ParlaMint-NO_2016-17_170619.ud183e7387,KES,nob,"['Under debatten er det satt fram i alt tre forslag. Det er', 'forslag nr. 1, fra Ingvild Kjerkol på vegne av Arbeiderpartiet, Kristelig Folkeparti og Senterpartiet', 'forslag nr. 2, fra Olaug V. Bollestad på vegne av Kristelig Folkeparti', 'forslag nr. 3, fra Torgeir Knag Fylkesnes på vegne av Sosialistisk Venstreparti', 'Det voteres over forslag nr. 3, fra Sosialistisk Venstreparti. Forslaget lyder:', '«Stortinget ber regjeringen instruere samtlige helseforetak til ikke å kutte i tiden som er tilgjengelig til rapport ved vaktskift, slik at vi unngår en utvikling tilsvarende den vi nå ser på St. Olav, med de svekkelsene i pasientsikkerhet og arbeidsvilkår det medfører.» Miljøpartiet De Grønne og Senterpartiet har varslet støtte til forslaget.']"
ParlaMint-NO_2016-17_170619.ud183e7414,KES,nob,"['Det voteres over forslag nr. 2, fra Kristelig Folkeparti. Forslaget lyder:', '«Stortinget ber regjeringen fremme en sykehus-eiermelding slik at Stortinget får anledning til å gi overordnede styringssignaler, verdier og styringsprinsipper for statens eierskap som bygger på trepartssamarbeidet.»', 'Sosialistisk Venstreparti og Miljøpartiet De Grønne har varslet støtte til forslaget.']"
ParlaMint-NO_2016-17_170619.ud183e7431,KES,nob,"['Det voteres over forslag nr. 1, fra Arbeiderpartiet, Kristelig Folkeparti og Senterpartiet. Forslaget lyder:', '«Stortinget ber regjeringen gjennom trepartssamarbeidet sikre samarbeid og tillit mellom partene i sykehussektoren.»', 'Sosialistisk Venstreparti og Miljøpartiet De Grønne har varslet støtte til forslaget.']"
ParlaMint-NO_2016-17_170619.ud183e7464,KES,nob,"['Under debatten er det satt fram i alt tolv forslag. Det er', 'forslag nr. 1, fra Ingvild Kjerkol på vegne av Arbeiderpartiet, Kristelig Folkeparti og Senterpartiet', 'forslagene nr. 2–10, fra Olaug V. Bollestad på vegne av Kristelig Folkeparti og Senterpartiet', 'forslagene nr. 11 og 12, fra Torgeir Knag Fylkesnes på vegne av Sosialistisk Venstreparti', 'Det voteres over forslag nr. 12, fra Sosialistisk Venstreparti. Forslaget lyder:', '«Stortinget ber regjeringen legge til rette for, og kreve, ansettelsesforhold i hele stillinger for nyutdannede jordmødre for å sikre at kompetansen og kvaliteten på jordmortjenesten opprettholdes.»']"
ParlaMint-NO_2016-17_170619.ud183e7491,KES,nob,"['Det voteres over forslag nr. 11, fra Sosialistisk Venstreparti. Forslaget lyder:', '«Stortinget ber regjeringen sikre at alle kvinner som har behov for, og ønsker, hjelp med etablering av amming etter fødsel, skal få hjelp til det gjennom å være på barselavdeling, sykehushotell eller andre tilbud knyttet til sykehusene til dette er på plass, inkludert tilstrekkelig barseloppfølging i tråd med gjeldende retningslinjer.» Miljøpartiet De Grønne og Senterpartiet har varslet støtte til forslaget.']"
ParlaMint-NO_2016-17_170619.ud183e7506,KES,nob,"['Det voteres over forslagene nr. 2–10, fra Kristelig Folkeparti og Senterpartiet.', 'Forslag nr. 2 lyder:', '«Stortinget ber regjeringen fremme sak om å endre finansieringsordningen for jordmortjenesten på bakgrunn av en evaluering av takstordningen for jordmødre, slik at det blir mer attraktivt for kommuner å ansette jordmødre. Ny finansieringsordning må stimulere til samhandling mellom primær- og spesialisthelsetjenesten og desentraliserte tilbud.»', 'Forslag nr. 3 lyder:', '«Stortinget ber regjeringen sikre at utdanningskapasiteten for jordmødre samsvarer med målene Stortinget har satt for jordmortjenesten.»', 'Forslag nr. 4 lyder:', '«Stortinget ber regjeringen sikre økt bruk av heltidsstillinger i den kommunale jordmortjenesten, for å hindre frafall og sikre samfunnsnyttig anvendelse av jordmødrenes 5-årige utdanningskompetanse.»', 'Forslag nr. 5 lyder:', '«Stortinget ber regjeringen sikre alle barselkvinner tilbud om hjelp til etablering av amming etter fødsel, ved at Nasjonal faglig retningslinje for barsel-omsorgen, herunder hjemmebesøk og kvalitetskrav til fødselsomsorgen, implementeres i tjenestene.»', 'Forslag nr. 6 lyder:', '«Stortinget ber regjeringen fremme sak om å rammefinansiere fødselsomsorgen slik at kvalitet blir premiert og at en sikrer forsvarlig bemanning som et akuttilbud.»', 'Forslag nr. 7 lyder:', '«Stortinget ber regjeringen gjennomføre en full gjennomgang av bemanningssituasjonen ved landets fødesteder for å sikre at bemanningen er god nok til at hver kvinne faktisk har tilgang til en-til-en-omsorg fra jordmor under den aktive delen av fødselen.»', 'Forslag nr. 8 lyder:', '«Stortinget ber regjeringen innføre et grunnleggende prinsipp om at familier, uavhengig av bosted, skal sikres et nært og tilgjengelig fødetilbud i henhold til de nasjonale kvalitetskravene satt til fødselsomsorgen.»', 'Forslag nr. 9 lyder:', '«Stortinget ber regjeringen sikre at kort liggetid på sykehus skal være kvinnens eget ønske, og ikke økonomisk betinget. Ingen skal skrives ut til et for dårlig tilgjengelig kommunalt barseltilbud.»', 'Forslag nr. 10 lyder:', '«Stortinget ber regjeringen fremskaffe en nasjonal oversikt over følgetjenesten for gravide og sørge for at det iverksettes tiltak der helseforetakenes ambulansetjeneste ikke gir nødvendig beredskap for følge av gravide til fødestedet.»', 'Sosialistisk Venstreparti har varslet støtte til forslagene nr. 2, 3 og 5–10 samt subsidiær støtte til forslag nr. 4.', 'Miljøpartiet De Grønne har varslet støtte til forslagene.']"
ParlaMint-NO_2016-17_170619.ud183e7568,KES,nob,"['Det voteres over forslag nr. 1, fra Arbeiderpartiet, Kristelig Folkeparti og Senterpartiet. Forslaget lyder:', '«Stortinget ber regjeringen sikre en trygg fødselsomsorg i tråd med kvalitetskrav til fødselsomsorgen satt i nasjonal veileder, og stanse sentraliseringen av fødeinstitusjoner.»', 'Sosialistisk Venstreparti og Miljøpartiet De Grønne har varslet støtte til forslaget.']"
ParlaMint-NO_2016-17_170619.ud183e7601,KES,nob,"['Under debatten har Ingvild Kjerkol satt fram et forslag på vegne av Arbeiderpartiet, Kristelig Folkeparti og Senterpartiet. Forslaget lyder:', '«Stortinget ber regjeringen fremme sak for Stortinget om hvordan skoledagen kan organiseres for å oppnå minst én times fysisk aktivitet for alle elever hver dag, gjennom en gradvis innføring, finansiert som et folkehelsetiltak.»', 'Sosialistisk Venstreparti og Miljøpartiet De Grønne har varslet støtte til forslaget.']"
ParlaMint-NO_2016-17_170619.ud183e7640,KES,nob,"['Arbeiderpartiet, Kristelig Folkeparti, Senterpartiet og Sosialistisk Venstreparti har varslet at de vil stemme imot.']"
ParlaMint-NO_2016-17_170619.ud183e7668,KES,nob,"['Sak nr. 25 gjelder tredje gangs behandling av lovsak og gjelder lovvedtak 128 for 2016–2017 – Lov om endringer i konsesjonsloven, jordloven og odelsloven mv. – med den vedtatte anmerkning i Stortingets møte fredag 16. juni 2017.', 'Det voteres dermed over lovforslaget med den vedtatte anmerkning fra andre gangs behandling.']"
ParlaMint-NO_2016-17_170619.ud183e7688,KES,nob,"['Når det gjelder sakene nr. 26–36, er de andre gangs behandling av lovsaker og gjelder lovvedtakene 136–146.', 'Presidenten gjør oppmerksom på en inkurie i lovvedtak 142 ', ' hvor riktig henvisning under I skal være:', '«Noverande § 13-4 femte til sjette ledd vert nytt sjette til sjuande ledd.»', 'Både innstilling og lovvedtak vil trykkes beriktiget med den riktige teksten.', 'Det foreligger ingen forslag til anmerkninger. Stortingets lovvedtak er dermed bifalt ved andre gangs behandling og blir å sende Kongen i overensstemmelse med Grunnloven.']"
ParlaMint-NO_2016-17_170619.ud183e7878,KES,nob,['Dermed er sakene på dagens kart ferdigbehandlet. Forlanger noen ordet før møtet heves? – Møtet er hevet.']
ParlaMint-NO_2013-14_131210.ud798e1680,KES,nob,"['Den innkalte vararepresentanten for Nordland fylke, Tor Arne Bell Ljunggren, har nå tatt sete.']"
ParlaMint-NO_2013-14_131210.ud798e1812,KES,nob,"['Det blir replikkordskifte.', 'For øvrig skal presidenten ta med seg til presidentskapet å få en større motor på talerstolen!']"
ParlaMint-NO_2013-14_131210.ud798e1950,KES,nob,"['De talerne som heretter får ordet, har en taletid på inntil 3 minutter.']"
ParlaMint-NO_2014-15_150428.ud801e1884,KES,nob,['Representanten Eidsvoll Holmås har tatt opp de forslagene han refererte til.']
ParlaMint-NO_2014-15_150428.ud801e1992,KES,nob,"['Replikkordskiftet er omme.', 'De talerne som heretter får ordet, har en taletid på inntil 3 minutter.']"
ParlaMint-NO_2014-15_150428.ud801e2030,KES,nob,"['Etter ønske fra energi- og miljøkomiteen vil presidenten foreslå at taletiden blir begrenset til 5 minutter til hver partigruppe og 5 minutter til medlem av regjeringen.', 'Videre vil presidenten foreslå at det blir gitt anledning til seks replikker med svar etter innlegg fra medlemmer av regjeringen innenfor den fordelte taletid, og at de som måtte tegne seg på talerlisten utover den fordelte taletid, får en taletid på inntil 3 minutter.', '– Det anses vedtatt.']"
ParlaMint-NO_2014-15_150428.ud801e2050,KES,nob,"['Flere har ikke bedt om ordet til sak nr. 9.', 'Når det gjelder neste sak, sak nr. 10, ser det ut til at vi har et problem, for verken interpellanten eller statsråden er til stede.', 'Vi har fått beskjed om at det tar ca. 10 minutter til statsråden kommer. Presidenten vil foreslå at vi tar en pause på 10 minutter. Det vil bli ringt to ganger før vi starter igjen.', 'Møtet avbrutt kl. 15.29.', '-----', 'Stortinget gjenopptok sine forhandlinger kl. 15.33.']"
ParlaMint-NO_2014-15_150428.ud801e2063,KES,nob,"['Nå er vi klare til å gå videre i behandlingen av dagens kart.', 'Presidenten vil bemerke at det er helt uakseptabelt at man ikke forholder seg til det tidspunktet man skal være her – det gjelder både statsråd og interpellant.']"
